File size 8514 
row: 10 , col 4  , place id: 84 ;
row: 24 , col 3  , place id: 195 ;
row: 41 , col 2  , place id: 330 ;
row: 13 , col 1  , place id: 105 ;
row: 70 , col 1  , place id: 561 ;
row: 20 , col 6  , place id: 166 ;
row: 44 , col 3  , place id: 355 ;
row: 27 , col 7  , place id: 223 ;
row: 70 , col 6  , place id: 566 ;
row: 51 , col 2  , place id: 410 ;
row: 47 , col 7  , place id: 383 ;
row: 78 , col 6  , place id: 630 ;
row: 101 , col 4  , place id: 812 ;
row: 57 , col 1  , place id: 457 ;
row: 11 , col 5  , place id: 93 ;
row: 21 , col 2  , place id: 170 ;
row: 60 , col 1  , place id: 481 ;
row: 61 , col 6  , place id: 494 ;
row: 94 , col 0  , place id: 752 ;
row: 83 , col 5  , place id: 669 ;
row: 54 , col 3  , place id: 435 ;
row: 29 , col 2  , place id: 234 ;
row: 49 , col 3  , place id: 395 ;
row: 45 , col 4  , place id: 364 ;
row: 14 , col 7  , place id: 119 ;
row: 38 , col 5  , place id: 309 ;
row: 68 , col 6  , place id: 550 ;
row: 47 , col 5  , place id: 381 ;
row: 52 , col 2  , place id: 418 ;
row: 47 , col 3  , place id: 379 ;
row: 18 , col 6  , place id: 150 ;
row: 73 , col 3  , place id: 587 ;
row: 60 , col 5  , place id: 485 ;
row: 75 , col 2  , place id: 602 ;
row: 16 , col 6  , place id: 134 ;
row: 102 , col 2  , place id: 818 ;
row: 87 , col 1  , place id: 697 ;
row: 79 , col 4  , place id: 636 ;
row: 31 , col 3  , place id: 251 ;
row: 12 , col 2  , place id: 98 ;
row: 97 , col 5  , place id: 781 ;
row: 90 , col 1  , place id: 721 ;
row: 102 , col 1  , place id: 817 ;
row: 33 , col 2  , place id: 266 ;
row: 55 , col 2  , place id: 442 ;
row: 104 , col 7  , place id: 839 ;
row: 87 , col 3  , place id: 699 ;
row: 64 , col 5  , place id: 517 ;
row: 42 , col 0  , place id: 336 ;
row: 96 , col 4  , place id: 772 ;
row: 13 , col 6  , place id: 110 ;
row: 37 , col 3  , place id: 299 ;
row: 90 , col 6  , place id: 726 ;
row: 20 , col 5  , place id: 165 ;
row: 82 , col 0  , place id: 656 ;
row: 62 , col 2  , place id: 498 ;
row: 51 , col 6  , place id: 414 ;
row: 44 , col 5  , place id: 357 ;
row: 34 , col 1  , place id: 273 ;
row: 72 , col 4  , place id: 580 ;
row: 21 , col 5  , place id: 173 ;
row: 39 , col 4  , place id: 316 ;
row: 88 , col 6  , place id: 710 ;
row: 47 , col 2  , place id: 378 ;
row: 35 , col 1  , place id: 281 ;
row: 14 , col 1  , place id: 113 ;
row: 63 , col 4  , place id: 508 ;
row: 59 , col 1  , place id: 473 ;
row: 59 , col 0  , place id: 472 ;
row: 69 , col 5  , place id: 557 ;
row: 57 , col 2  , place id: 458 ;
row: 81 , col 0  , place id: 648 ;
row: 91 , col 5  , place id: 733 ;
row: 102 , col 4  , place id: 820 ;
row: 10 , col 6  , place id: 86 ;
row: 30 , col 1  , place id: 241 ;
row: 84 , col 0  , place id: 672 ;
row: 47 , col 0  , place id: 376 ;
row: 68 , col 3  , place id: 547 ;
row: 91 , col 7  , place id: 735 ;
row: 43 , col 2  , place id: 346 ;
row: 69 , col 3  , place id: 555 ;
row: 25 , col 3  , place id: 203 ;
row: 38 , col 3  , place id: 307 ;
row: 40 , col 0  , place id: 320 ;
row: 23 , col 7  , place id: 191 ;
row: 103 , col 4  , place id: 828 ;
row: 51 , col 3  , place id: 411 ;
row: 65 , col 1  , place id: 521 ;
row: 50 , col 7  , place id: 407 ;
row: 42 , col 5  , place id: 341 ;
row: 67 , col 5  , place id: 541 ;
row: 77 , col 3  , place id: 619 ;
row: 82 , col 1  , place id: 657 ;
row: 80 , col 4  , place id: 644 ;
row: 34 , col 0  , place id: 272 ;
row: 103 , col 6  , place id: 830 ;
row: 42 , col 1  , place id: 337 ;
row: 75 , col 5  , place id: 605 ;
row: 11 , col 2  , place id: 90 ;
row: 98 , col 5  , place id: 789 ;
row: 82 , col 6  , place id: 662 ;
row: 101 , col 1  , place id: 809 ;
row: 49 , col 1  , place id: 393 ;
row: 16 , col 7  , place id: 135 ;
row: 84 , col 7  , place id: 679 ;
row: 81 , col 4  , place id: 652 ;
row: 57 , col 4  , place id: 460 ;
row: 25 , col 6  , place id: 206 ;
row: 99 , col 4  , place id: 796 ;
row: 105 , col 5  , place id: 845 ;
row: 70 , col 3  , place id: 563 ;
row: 36 , col 0  , place id: 288 ;
row: 29 , col 5  , place id: 237 ;
row: 20 , col 0  , place id: 160 ;
row: 64 , col 6  , place id: 518 ;
row: 67 , col 1  , place id: 537 ;
row: 46 , col 5  , place id: 373 ;
row: 66 , col 5  , place id: 533 ;
row: 46 , col 3  , place id: 371 ;
row: 21 , col 0  , place id: 168 ;
row: 11 , col 0  , place id: 88 ;
row: 57 , col 3  , place id: 459 ;
row: 38 , col 2  , place id: 306 ;
row: 22 , col 2  , place id: 178 ;
row: 49 , col 7  , place id: 399 ;
row: 103 , col 2  , place id: 826 ;
row: 48 , col 4  , place id: 388 ;
row: 98 , col 3  , place id: 787 ;
row: 63 , col 2  , place id: 506 ;
row: 89 , col 6  , place id: 718 ;
row: 87 , col 4  , place id: 700 ;
row: 27 , col 3  , place id: 219 ;
row: 11 , col 7  , place id: 95 ;
row: 92 , col 2  , place id: 738 ;
row: 40 , col 5  , place id: 325 ;
row: 77 , col 6  , place id: 622 ;
row: 88 , col 5  , place id: 709 ;
row: 89 , col 4  , place id: 716 ;
row: 33 , col 5  , place id: 269 ;
row: 42 , col 4  , place id: 340 ;
row: 48 , col 5  , place id: 389 ;
row: 23 , col 6  , place id: 190 ;
row: 43 , col 0  , place id: 344 ;
row: 94 , col 5  , place id: 757 ;
row: 85 , col 5  , place id: 685 ;
row: 74 , col 5  , place id: 597 ;
row: 97 , col 1  , place id: 777 ;
row: 17 , col 4  , place id: 140 ;
row: 105 , col 1  , place id: 841 ;
row: 28 , col 4  , place id: 228 ;
row: 79 , col 5  , place id: 637 ;
row: 56 , col 6  , place id: 454 ;
row: 14 , col 2  , place id: 114 ;
row: 106 , col 6  , place id: 854 ;
row: 84 , col 1  , place id: 673 ;
row: 41 , col 0  , place id: 328 ;
row: 36 , col 5  , place id: 293 ;
row: 24 , col 7  , place id: 199 ;
row: 77 , col 7  , place id: 623 ;
row: 96 , col 5  , place id: 773 ;
row: 23 , col 0  , place id: 184 ;
row: 18 , col 7  , place id: 151 ;
row: 30 , col 5  , place id: 245 ;
row: 24 , col 2  , place id: 194 ;
row: 81 , col 7  , place id: 655 ;
row: 32 , col 0  , place id: 256 ;
row: 51 , col 5  , place id: 413 ;
row: 66 , col 1  , place id: 529 ;
row: 66 , col 2  , place id: 530 ;
row: 20 , col 3  , place id: 163 ;
row: 100 , col 1  , place id: 801 ;
row: 39 , col 0  , place id: 312 ;
row: 28 , col 0  , place id: 224 ;
row: 79 , col 2  , place id: 634 ;
row: 27 , col 2  , place id: 218 ;
row: 91 , col 2  , place id: 730 ;
row: 39 , col 6  , place id: 318 ;
row: 67 , col 4  , place id: 540 ;
row: 53 , col 1  , place id: 425 ;
row: 53 , col 2  , place id: 426 ;
row: 60 , col 4  , place id: 484 ;
row: 33 , col 4  , place id: 268 ;
row: 22 , col 7  , place id: 183 ;
row: 51 , col 4  , place id: 412 ;
row: 40 , col 7  , place id: 327 ;
row: 35 , col 4  , place id: 284 ;
row: 52 , col 7  , place id: 423 ;
row: 58 , col 3  , place id: 467 ;
row: 27 , col 5  , place id: 221 ;
row: 83 , col 0  , place id: 664 ;
row: 79 , col 6  , place id: 638 ;
row: 37 , col 4  , place id: 300 ;
row: 63 , col 6  , place id: 510 ;
row: 54 , col 5  , place id: 437 ;
row: 85 , col 2  , place id: 682 ;
row: 48 , col 2  , place id: 386 ;
row: 75 , col 7  , place id: 607 ;
row: 81 , col 3  , place id: 651 ;
row: 79 , col 3  , place id: 635 ;
row: 86 , col 6  , place id: 694 ;
row: 36 , col 2  , place id: 290 ;
row: 77 , col 0  , place id: 616 ;
row: 56 , col 7  , place id: 455 ;
row: 74 , col 1  , place id: 593 ;
row: 36 , col 3  , place id: 291 ;
row: 28 , col 5  , place id: 229 ;
row: 36 , col 1  , place id: 289 ;
row: 101 , col 2  , place id: 810 ;
row: 55 , col 3  , place id: 443 ;
row: 45 , col 1  , place id: 361 ;
row: 44 , col 6  , place id: 358 ;
row: 73 , col 4  , place id: 588 ;
row: 26 , col 0  , place id: 208 ;
row: 78 , col 1  , place id: 625 ;
row: 21 , col 1  , place id: 169 ;
row: 100 , col 6  , place id: 806 ;
row: 60 , col 6  , place id: 486 ;
row: 53 , col 7  , place id: 431 ;
row: 94 , col 3  , place id: 755 ;
row: 30 , col 7  , place id: 247 ;
row: 59 , col 3  , place id: 475 ;
row: 74 , col 6  , place id: 598 ;
row: 32 , col 6  , place id: 262 ;
row: 53 , col 3  , place id: 427 ;
row: 46 , col 6  , place id: 374 ;
row: 43 , col 7  , place id: 351 ;
row: 15 , col 6  , place id: 126 ;
row: 30 , col 0  , place id: 240 ;
row: 49 , col 5  , place id: 397 ;
row: 101 , col 6  , place id: 814 ;
row: 88 , col 2  , place id: 706 ;
row: 105 , col 3  , place id: 843 ;
row: 93 , col 5  , place id: 749 ;
row: 92 , col 1  , place id: 737 ;
row: 41 , col 3  , place id: 331 ;
row: 104 , col 5  , place id: 837 ;
row: 85 , col 1  , place id: 681 ;
row: 68 , col 7  , place id: 551 ;
row: 32 , col 7  , place id: 263 ;
row: 47 , col 1  , place id: 377 ;
row: 37 , col 1  , place id: 297 ;
row: 84 , col 2  , place id: 674 ;
row: 40 , col 1  , place id: 321 ;
row: 94 , col 6  , place id: 758 ;
row: 62 , col 5  , place id: 501 ;
row: 57 , col 7  , place id: 463 ;
row: 56 , col 1  , place id: 449 ;
row: 106 , col 0  , place id: 848 ;
row: 19 , col 1  , place id: 153 ;
row: 22 , col 0  , place id: 176 ;
row: 98 , col 7  , place id: 791 ;
row: 101 , col 0  , place id: 808 ;
row: 78 , col 4  , place id: 628 ;
row: 33 , col 3  , place id: 267 ;
row: 39 , col 7  , place id: 319 ;
row: 14 , col 6  , place id: 118 ;
row: 105 , col 7  , place id: 847 ;
row: 42 , col 2  , place id: 338 ;
row: 85 , col 7  , place id: 687 ;
row: 97 , col 0  , place id: 776 ;
row: 61 , col 0  , place id: 488 ;
row: 35 , col 2  , place id: 282 ;
row: 12 , col 7  , place id: 103 ;
row: 50 , col 4  , place id: 404 ;
row: 71 , col 3  , place id: 571 ;
row: 53 , col 5  , place id: 429 ;
row: 16 , col 5  , place id: 133 ;
row: 17 , col 6  , place id: 142 ;
row: 55 , col 1  , place id: 441 ;
row: 90 , col 3  , place id: 723 ;
row: 31 , col 4  , place id: 252 ;
row: 76 , col 4  , place id: 612 ;
row: 17 , col 0  , place id: 136 ;
row: 64 , col 3  , place id: 515 ;
row: 73 , col 0  , place id: 584 ;
row: 14 , col 5  , place id: 117 ;
row: 21 , col 3  , place id: 171 ;
row: 103 , col 1  , place id: 825 ;
row: 104 , col 0  , place id: 832 ;
row: 106 , col 5  , place id: 853 ;
row: 55 , col 4  , place id: 444 ;
row: 26 , col 2  , place id: 210 ;
row: 85 , col 4  , place id: 684 ;
row: 15 , col 1  , place id: 121 ;
row: 67 , col 7  , place id: 543 ;
row: 14 , col 4  , place id: 116 ;
row: 25 , col 1  , place id: 201 ;
row: 36 , col 4  , place id: 292 ;
row: 38 , col 1  , place id: 305 ;
row: 91 , col 1  , place id: 729 ;
row: 101 , col 3  , place id: 811 ;
row: 48 , col 1  , place id: 385 ;
row: 25 , col 2  , place id: 202 ;
row: 97 , col 2  , place id: 778 ;
row: 106 , col 3  , place id: 851 ;
row: 55 , col 0  , place id: 440 ;
row: 79 , col 1  , place id: 633 ;
row: 79 , col 7  , place id: 639 ;
row: 91 , col 3  , place id: 731 ;
row: 78 , col 5  , place id: 629 ;
row: 37 , col 5  , place id: 301 ;
row: 76 , col 7  , place id: 615 ;
row: 86 , col 3  , place id: 691 ;
row: 49 , col 0  , place id: 392 ;
row: 18 , col 5  , place id: 149 ;
row: 16 , col 2  , place id: 130 ;
row: 91 , col 6  , place id: 734 ;
row: 85 , col 0  , place id: 680 ;
row: 48 , col 6  , place id: 390 ;
